image_name,label
00000.png,1
00001.png,1
00002.png,1
00003.png,1
00004.png,1
00005.png,1
00006.png,1
00007.png,1
00008.png,1
00009.png,8
00010.png,1
00011.png,1
00012.png,1
00013.png,1
00014.png,1
00015.png,1
00016.png,1
00017.png,1
00018.png,1
00019.png,4
00020.png,1
00021.png,1
00022.png,1
00023.png,1
00024.png,1
00025.png,7
00026.png,1
00027.png,1
00028.png,1
00029.png,1
00030.png,0
00031.png,1
00032.png,1
00033.png,0
00034.png,1
00035.png,1
00036.png,7
00037.png,1
00038.png,1
00039.png,7
00040.png,1
00041.png,1
00042.png,1
00043.png,1
00044.png,1
00045.png,1
00046.png,1
00047.png,1
00048.png,1
00049.png,6
00050.png,4
00051.png,1
00052.png,8
00053.png,1
00054.png,1
00055.png,6
00056.png,1
00057.png,7
00058.png,1
00059.png,1
00060.png,1
00061.png,1
00062.png,1
00063.png,1
00064.png,1
00065.png,1
00066.png,1
00067.png,1
00068.png,1
00069.png,1
00070.png,7
00071.png,1
00072.png,1
00073.png,1
00074.png,1
00075.png,1
00076.png,1
00077.png,1
00078.png,1
00079.png,1
00080.png,1
00081.png,1
00082.png,1
00083.png,1
00084.png,1
00085.png,1
00086.png,1
00087.png,1
00088.png,1
00089.png,1
00090.png,1
00091.png,1
00092.png,1
00093.png,4
00094.png,1
00095.png,1
00096.png,1
00097.png,1
00098.png,1
00099.png,1
00100.png,1
00101.png,8
00102.png,1
00103.png,1
00104.png,7
00105.png,2
00106.png,4
00107.png,1
00108.png,4
00109.png,6
00110.png,1
00111.png,1
00112.png,1
00113.png,1
00114.png,4
00115.png,7
00116.png,1
00117.png,1
00118.png,1
00119.png,1
00120.png,1
00121.png,1
00122.png,1
00123.png,1
00124.png,1
00125.png,6
00126.png,1
00127.png,1
00128.png,1
00129.png,1
00130.png,1
00131.png,1
00132.png,1
00133.png,2
00134.png,1
00135.png,1
00136.png,1
00137.png,1
00138.png,1
00139.png,1
00140.png,1
00141.png,1
00142.png,1
00143.png,6
00144.png,1
00145.png,2
00146.png,1
00147.png,0
00148.png,3
00149.png,1
00150.png,1
00151.png,6
00152.png,7
00153.png,1
00154.png,1
00155.png,1
00156.png,1
00157.png,1
00158.png,1
00159.png,1
00160.png,1
00161.png,4
00162.png,8
00163.png,6
00164.png,1
00165.png,1
00166.png,1
00167.png,1
00168.png,1
00169.png,1
00170.png,1
00171.png,1
00172.png,1
00173.png,1
00174.png,1
00175.png,1
00176.png,1
00177.png,1
00178.png,1
00179.png,1
00180.png,1
00181.png,1
00182.png,1
00183.png,1
00184.png,1
00185.png,1
00186.png,1
00187.png,1
00188.png,1
00189.png,1
00190.png,1
00191.png,1
00192.png,1
00193.png,1
00194.png,1
00195.png,1
00196.png,1
00197.png,1
00198.png,1
00199.png,1
00200.png,1
00201.png,1
00202.png,1
00203.png,1
00204.png,1
00205.png,1
00206.png,1
00207.png,1
00208.png,6
00209.png,7
00210.png,1
00211.png,1
00212.png,1
00213.png,1
00214.png,1
00215.png,7
00216.png,1
00217.png,8
00218.png,1
00219.png,1
00220.png,1
00221.png,6
00222.png,1
00223.png,1
00224.png,1
00225.png,1
00226.png,1
00227.png,1
00228.png,1
00229.png,4
00230.png,1
00231.png,5
00232.png,1
00233.png,1
00234.png,1
00235.png,1
00236.png,1
00237.png,6
00238.png,1
00239.png,1
00240.png,1
00241.png,1
00242.png,1
00243.png,1
00244.png,1
00245.png,1
00246.png,1
00247.png,1
00248.png,1
00249.png,1
00250.png,1
00251.png,1
00252.png,1
00253.png,1
00254.png,1
00255.png,1
00256.png,1
00257.png,1
00258.png,1
00259.png,1
00260.png,1
00261.png,0
00262.png,1
00263.png,1
00264.png,1
00265.png,1
00266.png,7
00267.png,1
00268.png,1
00269.png,1
00270.png,7
00271.png,1
00272.png,1
00273.png,1
00274.png,1
00275.png,1
00276.png,1
00277.png,1
00278.png,1
00279.png,1
00280.png,7
00281.png,7
00282.png,3
00283.png,3
00284.png,1
00285.png,4
00286.png,7
00287.png,0
00288.png,1
00289.png,1
00290.png,1
00291.png,7
00292.png,1
00293.png,0
00294.png,7
00295.png,1
00296.png,1
00297.png,7
00298.png,1
00299.png,1
00300.png,7
00301.png,1
00302.png,8
00303.png,2
00304.png,1
00305.png,1
00306.png,5
00307.png,4
00308.png,5
00309.png,7
00310.png,1
00311.png,1
00312.png,1
00313.png,1
00314.png,1
00315.png,1
00316.png,1
00317.png,1
00318.png,1
00319.png,1
00320.png,1
00321.png,1
00322.png,1
00323.png,1
00324.png,1
00325.png,1
00326.png,1
00327.png,1
00328.png,7
00329.png,1
00330.png,7
00331.png,6
00332.png,0
00333.png,1
00334.png,1
00335.png,1
00336.png,1
00337.png,1
00338.png,1
00339.png,1
00340.png,1
00341.png,1
00342.png,6
00343.png,1
00344.png,1
00345.png,1
00346.png,1
00347.png,1
00348.png,1
00349.png,6
00350.png,1
00351.png,1
00352.png,1
00353.png,6
00354.png,1
00355.png,1
00356.png,1
00357.png,1
00358.png,1
00359.png,1
00360.png,7
00361.png,1
00362.png,1
00363.png,1
00364.png,1
00365.png,9
00366.png,1
00367.png,1
00368.png,1
00369.png,1
00370.png,1
00371.png,1
00372.png,1
00373.png,1
00374.png,6
00375.png,1
00376.png,1
00377.png,1
00378.png,1
00379.png,1
00380.png,6
00381.png,1
00382.png,1
00383.png,1
00384.png,1
00385.png,1
00386.png,1
00387.png,2
00388.png,0
00389.png,1
00390.png,1
00391.png,1
00392.png,2
00393.png,4
00394.png,1
00395.png,1
00396.png,1
00397.png,1
00398.png,1
00399.png,1
00400.png,7
00401.png,7
00402.png,6
00403.png,1
00404.png,1
00405.png,1
00406.png,1
00407.png,1
00408.png,2
00409.png,6
00410.png,1
00411.png,6
00412.png,5
00413.png,1
00414.png,7
00415.png,1
00416.png,1
00417.png,1
00418.png,1
00419.png,1
00420.png,6
00421.png,1
00422.png,1
00423.png,1
00424.png,1
00425.png,1
00426.png,1
00427.png,1
00428.png,1
00429.png,1
00430.png,1
00431.png,1
00432.png,1
00433.png,1
00434.png,1
00435.png,1
00436.png,1
00437.png,6
00438.png,1
00439.png,7
00440.png,6
00441.png,1
00442.png,1
00443.png,1
00444.png,1
00445.png,1
00446.png,1
00447.png,1
00448.png,1
00449.png,1
00450.png,1
00451.png,1
00452.png,1
00453.png,1
00454.png,1
00455.png,1
00456.png,1
00457.png,1
00458.png,1
00459.png,7
00460.png,1
00461.png,2
00462.png,1
